# address	status	binary	raw-score	source-debt	origin	uncertainty	revisit-trigger	tested-scores	before-score	after-score	eliminated-source-defect	audit-state	freeze-scope	tested-forms
0x00432020	provisional	partial	66.08	unstructured-control-flow	deep-audit-2026-07-29	ModeSelect::Run: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	66.08	-	-	-	audited	-	-
0x00432AD0	provisional	partial	3.82	clean	deep-audit-2026-07-29	ModeSelect::WndProc: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	3.82	-	-	-	audited	sub-50	-
0x00433410	provisional	partial	73.68	clean	deep-audit-2026-07-29	ModeSelect::ApplyTextStyle: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	73.68	-	-	-	audited	-	-
0x004334D0	provisional	partial	33.54	clean	deep-audit-2026-07-29	Toy2::MoveableObject::ComputeSegment: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	33.54	-	-	-	audited	sub-50	-
0x004335D0	provisional	partial	54.14	clean	deep-audit-2026-07-29	Toy2::MoveableObject::InitTable: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	54.14	-	-	-	audited	-	-
0x00433700	provisional	partial	59.13	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00433D50	provisional	partial	89.73	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00433F40	provisional	partial	86.38	clean	deep-audit-2026-07-29	Camera::CalculateMaxTurnAngle: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	86.38	-	-	-	audited	-	-
0x004340D0	provisional	partial	92.73	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x004343D0	provisional	partial	61.82	clean	deep-audit-2026-07-29	Toy2::Buzz::UpdateHorizontalMovement: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	61.82	-	-	-	audited	-	-
0x00434550	provisional	partial	70.48	clean	CAP-12	footing resolution: retail places the normal-damage case after the main return and uses different scratch registers for the fatal-surface position restore. The build keeps the damage case inline. Collision, floor state, footing override, damage dispatch, fatal-surface rollback, slippery-surface state, and velocity clamp agree. Direct, inverted, and switch forms were tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-12 mismatch	70.48	-	-	-	audited	former-cap	-
0x00434990	provisional	partial	46.18	clean	CAP-09	gun fire update: retail reserves 36 FPO bytes and the build reserves 28. The build also assigns the fire state, aim angles, and random angle to different registers. Input edges, charge and repeat timing, powered laser consumption, disc and grapple dispatch, beam reflection, sounds, and all state updates agree. Three structured and shared-dispatch forms were tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-09 mismatch	46.18	-	-	-	audited	former-cap,sub-50	-
0x00434EB0	provisional	partial	85.80	clean	CAP-21	spin hover update: retail keeps the previous timer in ECX and the updated timer in EAX through the negative hover phase; the build reverses those scratch roles and schedules the timer store and particle position loads differently. Cooldown, input/action guards, charge frequency, hover transition, particles, sounds, facing lock, cancellation, and timers agree. Four natural direct-global and scoped-local forms tested; best score 85.80%	revisit if new caller, type, or source-form evidence explains the recorded CAP-21 mismatch	85.80	-	-	-	audited	former-cap	-
0x00435100	provisional	partial	74.60	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x004354E0	provisional	partial	50.49	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x004359D0	provisional	partial	56.72	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00435F30	provisional	partial	84.72	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00436D80	provisional	partial	76.17	clean	deep-audit-2026-07-29	AudioManager::FillBuffer: sequence-entry layout and per-frame update ordering remain unresolved after caller and global-state review	revisit when there is a reconstructed sequence producer or consumer that fixes entry roles and update order	76.17	-	-	-	audited	-	-
0x004371B0	provisional	partial	45.58	clean	manual-audit	The void ABI, cursor table, input edges, save snapshot and rollback, volume controls, speaker animation, render calls, audio updates, fade, and exit path agree. VC6 assigns the dense UI state to different stack slots and lays out the active and inactive branches differently.	Revisit after ShowControlConfig and ShowGraphicsConfig are reconstructed or if another menu loop identifies the original local declaration order.	45.58	-	-	-	audited	sub-50	-
0x00437C40	provisional	partial	99.56	clean	deep-audit-2026-07-29	Toy2::MainMenu::Draw: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	99.56	-	-	-	audited	-	-
0x00437FB0	provisional	partial	70.00	clean	deep-audit-2026-07-29	Toy2::MainMenu::Tick: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	70.00	-	-	-	audited	-	-
0x004381F0	provisional	partial	76.79	clean	deep-audit-2026-07-29	Toy2::ScreenDispatcher: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	76.79	-	-	-	audited	-	-
0x00438650	provisional	partial	66.39	clean	deep-audit-2026-07-29	Toy2::LevelSelect::TurnTowardLookDir: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	66.39	-	-	-	audited	-	-
0x00438790	provisional	partial	38.87	clean	deep-audit-2026-07-29	Toy2::LevelSelect::ApplyWallRepulsion: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	38.87	-	-	-	audited	sub-50	-
0x00438910	provisional	partial	57.76	clean	manual-audit-2026-07-31	The ABI, waypoint interpolation, fixed-point scaling, link calls, and angle update agree. The retail frame has eight additional bytes. VC6 also assigns the path and blend values to different registers.	Revisit when another path follower identifies the local types or declaration order.	51.91,51.06,57.02,56.90,57.76	51.91	57.76	compound progress update and inverse angle branch	audited	-	compound update, explicit progress value, one 16-byte vector, two 16-byte vectors, retail angle branch
0x00438A50	provisional	partial	46.45	opaque-state-slot,unstructured-control-flow	deep-audit-2026-07-29	Toy2::LevelSelect::Tick: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	44.84	-	-	-	audited	sub-50	-
0x0043A380	provisional	partial	90.86	clean	deep-audit-2026-07-29	Toy2::ShowCredits: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	90.86	-	-	-	audited	-	-
0x0043A600	provisional	partial	75.25	clean	manual-audit-2026-07-30	The ABI, 220-byte frame, unlock filtering, typed menu entries, rendering order, input edges, scroll physics, fade paths, sounds, and return values agree. The build assigns different saved registers and strength-reduces the typed table walk differently.	Revisit if original source identifies the menu table loop form or local declaration order.	75.25	0.00	75.25	stub body and untyped movie viewer tables	audited	-	-
0x0043ABC0	provisional	partial	45.45	clean	session-audit-2026-07-30	Clip offset fixups, header-table setup, and bone-remap collection agree. Retail and the build assign the first clip and loop state to different registers.	revisit if CharacterLoader::Load or an exact clip-loader sibling fixes the original local lifetimes	22.90,19.70,45.45	0.00	45.45	empty body and untyped serialized clip and bone-remap data	audited	sub-50	-
0x0043B0C0	provisional	partial	42.05	clean	manual-audit-2026-07-30	The caller confirms the three-argument ABI. The switch maps all 63 IDs to retail strings and the two known loaders. Typed collision, bounds, and actor arrays confirm the final fixup. Retail keeps the ID in one register and uses scaled addresses. The build spills the byte ID and folds each case to constant array addresses.	Revisit when another CharacterLoader dispatcher confirms the original ID-local or case form.	41.84,35.61,41.99,41.78,42.05	0.00	42.05	empty body, missing character dispatch, missing actor fixup, and unnamed limit state	audited	sub-50	-
0x0043B9B0	provisional	partial	75.32	clean	manual-audit	The ABI, initializers, array sizes, actor bounds, and load call agree. VC6 selects different bounds registers, loop forms, and data-symbol anchors.	Revisit if another character initializer identifies the original bounds cursor declaration and assignment order.	75.32,72.50,59.52,72.73,72.73	75.32	75.32	typed bounds cursors and retail store order	audited	-	indexed bounds loop, typed indexed cursor, pointer-bound do loop, retail store order, incrementing cursor
0x0043BA80	provisional	partial	61.46	clean	CAP-09	animation clip evaluation: retail reserves a 0x28-byte FPO frame and homes clip, loop, sample, and bone-index state differently; build reserves 0x20 bytes and uses a different callee-saved register order. Clip parsing, translation and rotation interpolation, Buzz offset, scale flags, and cleanup agree; 3 structural forms tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-09 mismatch	61.46	-	-	-	audited	former-cap	-
0x0043C0E0	provisional	partial	82.19	clean	deep-audit-2026-07-29	Toy2::Animation::TransformByBone: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	82.19	-	-	-	audited	-	-
0x0043C1C0	provisional	partial	77.68	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043D6B0	provisional	partial	6.81	clean	session-audit-2026-07-30	The ABI, two callers, 76-byte record layout, 108-byte transform layout, data-cursor updates, special-track path, and pointer-fixup chain agree. VC6 uses different saved registers and local lifetimes.	Revisit if CharacterLoader::LoadSecondSection or CharacterLoader::LoadAll provides original record names or local declaration order.	6.81,9.56,13.22	0.00	6.81	unimplemented body, raw serialized offsets, and placeholder BoneTransform fields	audited	sub-50	-
0x0043D820	provisional	partial	64.37	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043D9E0	provisional	partial	58.21	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043E070	provisional	partial	85.48	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043E2D0	provisional	partial	40.23	clean	manual-audit-2026-07-30	The sole caller confirms the ABI and both stream starts. The terminator, masked command classes, payload strides, flag update, and polygon totals agree with retail. VC6 uses a two-stage switch table and a different accumulator register.	Revisit when a related command-stream parser identifies the original switch grouping or local declaration order.	40.23	0.00	40.23	missing body, unknown command-stream role, and missing polygon accumulation and flag update behavior	audited	sub-50	-
0x0043E430	provisional	partial	62.92	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043E5A0	provisional	partial	82.69	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0043E6E0	provisional	partial	14.79	clean	deep-audit-2026-07-29	Toy2::Levels::LoadDAT: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	14.79	-	-	-	audited	sub-50	-
0x0043FEF0	provisional	partial	50.92	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00441980	provisional	partial	93.94	clean	deep-audit-2026-07-29	Toy2::MainMenu::RenderMenu: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	93.94	-	-	-	audited	-	-
0x00445720	provisional	partial	51.38	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00446FC0	provisional	partial	20.60	clean	manual-audit-2026-07-30	The one-pointer ABI, camera transform layout, fixed-point angles, window scaling, and current and previous view state agree. The 64-entry height and rotation histories, phase updates, random target, and four smoothed matrices also agree. The required global writes, clip-offset resets, and both matrix callees agree. VC6 schedules the repeated matrix arithmetic and history locals differently.	Revisit when original Nu3D source identifies the repeated matrix macro or local declaration order.	20.60	0.00	20.60	empty body, untyped view histories, and missing fixed-point camera sway and matrix-blend paths	audited	sub-50	-
0x00447BD0	provisional	partial	59.09	clean	CAP-03	actor culling: retail keeps the camera pointer and distance sum in EBX at different times. The build keeps the camera pointer in EDI and the visibility-distance square in EBP. Portal rejection, distance culling, round-toward-zero conversion, frustum testing, and actor flags agree. The guarded do-loop and typed signed-byte area index improved the score from 32.73%.	revisit if new caller, type, or source-form evidence explains the recorded CAP-03 mismatch	59.09	-	-	-	audited	former-cap	-
0x00447D40	provisional	partial	87.32	clean	deep-audit-2026-07-29	Renderer::InitSpriteSheets: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	87.32	-	-	-	audited	-	-
0x00447DB0	provisional	partial	52.13	clean	deep-audit-2026-07-29	Toy2::Collectables::BuildPickupTable: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	52.13	-	-	-	audited	-	-
0x00448F00	provisional	partial	31.31	clean	manual-audit	Nu3D::Camera::IsActorSpawnVisible: model rejection, spawn-position delta, fixed-point view transform, radius padding, and depth-scaled camera bounds agree. Retail reserves a 16-byte FPO frame and assigns the actor and projected values to different register homes.	Revisit when SetupViewMatrix is reconstructed or source evidence identifies the original projection helper and local layout	21.40,31.31,28.28,29.41	0.00	31.31	empty body, untyped fixed-view matrix, and misleading occlusion-based name	audited	sub-50	-
0x0044DD80	provisional	partial	71.34	clean	deep-audit-2026-07-29	Renderer::DrawTintOverlay: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	71.34	-	-	-	audited	-	-
0x0044E1A0	provisional	partial	92.65	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0044E620	provisional	partial	81.63	clean	deep-audit-2026-07-29	Toy2::KiteTail::Init: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	81.63	-	-	-	audited	-	-
0x0044E710	provisional	partial	22.38	clean	CAP-03	kite-tail simulation: retail reserves 24 FPO bytes and assigns the segment, velocity, scratch, and wall-distance walks to different stack/register homes; build reserves 12 bytes. Integration, constraint, relaxation, collision selection, and copyback agree; 3 natural indexed/pointer forms tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-03 mismatch	22.38	-	-	-	audited	former-cap,sub-50	-
0x0044EB90	provisional	partial	37.18	clean	CAP-03	kite-tail draw: retail keeps tail-slot/texture/segment state in EBP/EBX/ESI/EDI; build changes the homes and reserves one extra packed-color slot; 3 structural forms tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-03 mismatch	36.48	-	-	-	audited	former-cap,sub-50	-
0x0044ED90	provisional	partial	74.42	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x0044F010	provisional	partial	37.84	clean	session-audit-2026-07-30	The caller, sprite-sheet fields, weather particle layout, UV calculations, 64-entry loop, fixed-point shifts, color, flags, and billboard call agree. The build uses a different FPO frame and schedules the UV and position conversions differently.	Revisit if Toy2::RenderGame or an original weather renderer analogue fixes the local declaration order.	33.33,34.08,36.77,37.84	0.00	37.84	unimplemented falling-particle render path	audited	sub-50	-
0x0044F200	provisional	partial	73.79	clean	CAP-28	lens-flare registration: retail reserves 56 FPO bytes. The build reuses dead collision-vector storage for projection spills and reserves 48 bytes. Collision, projection, visibility tests, and typed record writes agree. Direct and named spill forms were tested.	revisit if new caller, type, or source-form evidence explains the recorded CAP-28 mismatch	73.79	-	-	-	audited	former-cap	-
0x0044F580	provisional	partial	93.71	clean	CAP-27	lens-flare slot render: retail anchors the 12-byte element walk on green. The build anchors it on scaleY. All six fields resolve to the same addresses. Projection, brightness, depth scaling, color scaling, sprite calls, and cursor updates agree. A typed slot reference scored 35.33%. Typed direct-slot access scored 78.64%. Signed division by 256 and the confirmed int16 sheet parameter scored 93.71%.	revisit if new caller, type, or source-form evidence explains the recorded CAP-27 mismatch	93.71	-	-	-	audited	former-cap	-
0x00450C70	provisional	partial	11.38	clean	deep-audit-2026-07-29	Nu3D::Math::EulerToRotationMatrix: fixed-point or floating-point evaluation order and parameter signedness remain unresolved after ABI and branch review	revisit when there is an exact Nu3D analogue or a reconstructed caller that proves operand types and evaluation order	11.38	-	-	-	audited	sub-50	-
0x00451F80	provisional	partial	11.76	clean	deep-audit-2026-07-29	Nu3D::Math::Cross2D: fixed-point or floating-point evaluation order and parameter signedness remain unresolved after ABI and branch review	revisit when there is an exact Nu3D analogue or a reconstructed caller that proves operand types and evaluation order	11.76	-	-	-	audited	sub-50	-
0x00451FD0	provisional	partial	61.73	clean	deep-audit-2026-07-29	Nu3D::Math::NormalizeToFixedPoint: fixed-point or floating-point evaluation order and parameter signedness remain unresolved after ABI and branch review	revisit when there is an exact Nu3D analogue or a reconstructed caller that proves operand types and evaluation order	61.73	-	-	-	audited	-	-
0x004520D0	provisional	partial	30.77	clean	deep-audit-2026-07-29	Nu3D::Math::CartesianToFixedAngle: fixed-point or floating-point evaluation order and parameter signedness remain unresolved after ABI and branch review	revisit when there is an exact Nu3D analogue or a reconstructed caller that proves operand types and evaluation order	30.77	-	-	-	audited	sub-50	-
0x004521A0	provisional	partial	61.88	clean	deep-audit-2026-07-29	Toy2::Levels::BuildLevelPath: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	61.88	-	-	-	audited	-	-
0x00452310	provisional	partial	39.29	clean	deep-audit-2026-07-29	RawLoader::LoadPacketData: stream-record layout, cursor ownership, or loop structure remains unresolved after producer and consumer review	revisit when there is a reconstructed record producer or consumer that pins the record layout and cursor updates	39.29	-	-	-	audited	sub-50	-
0x00452FC0	provisional	partial	65.19	unstructured-control-flow	deep-audit-2026-07-29	Toy2::InitLevelPlay: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	65.19	-	-	-	audited	-	-
0x00459AB0	provisional	partial	22.11	clean	manual-audit-2026-07-30	The one-pointer ABI, RGB555 dispatch slot, vertex layout, quad flag, clip bounds, and five exclusive edge walks agree. The keyed and unkeyed spans, 0x03E0 key, UV lookup, clipping, blend masks, and side-effect order also agree. The reconstructed 50-percent blend sibling confirms the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when original Nu3D source or another compiler build identifies the edge macro or local declaration order.	22.11	0.00	22.11	empty body, unknown dispatch role, and missing keyed and unkeyed 25-percent RGB555 blend paths	audited	sub-50	-
0x0045A5C0	provisional	partial	21.51	clean	manual-audit-2026-07-30	The one-pointer ABI, dispatch slot, vertex layout, quad flag, clip bounds, and five exclusive edge walks agree. The keyed and unkeyed RGB555 spans, texture lookup, half-sum mask, clipping, and side-effect order also agree. The reconstructed additive and subtractive polygon rasterizers confirm the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when the 5-6-5 blend-50 twin at 0x00463090 identifies the original macro or local declaration order.	21.51	0.00	21.51	empty body, unknown dispatch role, and missing keyed and unkeyed RGB555 blend-50 polygon paths	audited	sub-50	-
0x0045B0B0	provisional	partial	20.51	clean	manual-audit-2026-07-30	The one-pointer ABI, RGB555 dispatch slot, vertex layout, quad flag, clip bounds, and five exclusive edge walks agree. The keyed and unkeyed spans, 0x03E0 key, UV lookup, clipping, 75-percent blend masks, and side-effect order also agree. The reconstructed 25-percent and 50-percent blend siblings confirm the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when original Nu3D source or another compiler build identifies the edge macro or local declaration order.	20.51	0.00	20.51	empty body, unknown dispatch role, and missing keyed and unkeyed 75-percent RGB555 blend paths	audited	sub-50	-
0x0045BBC0	provisional	partial	22.80	clean	manual-audit-2026-07-30	The one-pointer ABI, default dispatch slot, vertex layout, quad flag, clip bounds, and five inclusive edge walks agree. The keyed and unkeyed RGB555 spans, transparent key, texture lookup, clipping, single-pixel cases, and side-effect order also agree. The reconstructed RGB565 twin and RGB555 additive and subtractive rasterizers confirm the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when original Nu3D source or another compiler build identifies the edge macro or local declaration order.	22.80	0.00	22.80	empty body, unknown dispatch role, and missing keyed and unkeyed RGB555 textured-polygon paths	audited	sub-50	-
0x0045C6B0	provisional	partial	21.30	clean	manual-audit-2026-07-30	The one-pointer ABI, subtractive dispatch slot, vertex layout, quad flag, clip bounds, five edge walks, and scanline fields agree. The 5-5-5 texture lookup, transparent key, channel masks, saturated subtraction, and side-effect order also agree. The reconstructed 8-bit twins confirm the shared edge model. VC6 assigns repeated edge state to different stack slots and registers.	Revisit when another 5-5-5 textured polygon rasterizer identifies the original edge macro or local declaration order.	21.17,21.30	0.00	21.30	empty body, unknown dispatch role, and missing clipped 5-5-5 subtractive textured-polygon paths	audited	sub-50	-
0x0045D110	provisional	partial	24.14	clean	manual-audit-2026-07-30	The one-pointer ABI, additive dispatch slot, vertex layout, quad flag, clip bounds, five edge walks, and scanline fields agree. The 5-5-5 texture lookup, transparent key, channel masks, saturated addition, and side-effect order also agree. The reconstructed 5-5-5 subtractive and 5-6-5 additive twins confirm the shared edge and blend roles. VC6 assigns repeated edge state to different stack slots and registers.	Revisit when another 5-5-5 additive textured polygon rasterizer identifies the original edge macro or local declaration order.	24.14	0.00	24.14	empty body, unknown dispatch role, and missing clipped 5-5-5 additive textured-polygon paths	audited	sub-50	-
0x0045DB80	provisional	partial	24.90	clean	manual-audit-2026-07-30	The one-pointer ABI, dispatch-table slot, endpoint mutation, clip arithmetic, texture lookup, transparent key, four render-flag paths, 5-5-5 channel masks, ramp-table modulation, and side-effect order agree with the retail disassembly and the reconstructed 8-bit sibling. Retail assigns the repeated pixel-loop state to different registers and stack slots across the eight branch variants.	Revisit when the 5-6-5 textured rectangle twin at 0x00461D20 is reconstructed and identifies the original local declaration or branch order.	21.08,24.10,24.90	0.00	24.90	empty body, unknown dispatch role, and missing clipped textured-rectangle blend paths	audited	sub-50	-
0x00463090	provisional	partial	22.80	clean	manual-audit-2026-07-30	The one-pointer ABI, default dispatch slot, vertex layout, quad flag, clip bounds, and five inclusive edge walks agree. The keyed and unkeyed RGB565 spans, transparent key, texture lookup, clipping, single-pixel cases, and side-effect order also agree. The reconstructed additive and subtractive RGB565 rasterizers confirm the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when the RGB555 plain textured-polygon twin at 0x0045BBC0 identifies the original macro or local declaration order.	22.80	0.00	22.80	empty body, unknown dispatch role, and missing keyed and unkeyed RGB565 textured-polygon paths	audited	sub-50	-
0x00463B80	provisional	partial	22.11	clean	manual-audit-2026-07-30	The one-pointer ABI, RGB565 dispatch slot, vertex layout, quad flag, clip bounds, and five exclusive edge walks agree. The keyed and unkeyed spans, 0x07C0 key, UV lookup, clipping, 25-percent blend masks, and side-effect order also agree. The reconstructed RGB555 25-percent twin and RGB565 50-percent sibling confirm the shared edge and scanline roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when original Nu3D source or another compiler build identifies the edge macro or local declaration order.	22.11	0.00	22.11	empty body, unknown dispatch role, and missing keyed and unkeyed 25-percent RGB565 blend paths	audited	sub-50	-
0x00464690	provisional	partial	22.61	clean	manual-audit-2026-07-30	The one-pointer ABI, third RGB565 dispatch slot, vertex layout, quad flag, clip bounds, and five exclusive edge walks agree. The keyed and unkeyed spans, transparent key, clipping, distinct half-sum masks, skipped single-pixel spans, and side-effect order also agree. The reconstructed RGB555 blend-50 twin confirms the shared edge, span, texture, and blend roles. VC6 assigns repeated edge and span state to different stack slots and registers.	Revisit when original Nu3D source or another compiler build identifies the edge macro or local declaration order.	22.61	0.00	22.61	empty body, unknown dispatch role, and missing keyed and unkeyed RGB565 blend-50 polygon paths	audited	sub-50	-
0x00468430	provisional	partial	21.30	clean	manual-audit-2026-07-30	The one-pointer ABI, subtractive dispatch slot, vertex layout, quad flag, clip bounds, five edge walks, and scanline fields agree. The 5-6-5 texture lookup, transparent key, channel masks, saturated subtraction, and side-effect order also agree. The reconstructed 5-5-5 and 8-bit twins confirm the shared edge model. VC6 assigns repeated edge state to different stack slots and registers.	Revisit when another 5-6-5 textured polygon rasterizer identifies the original edge macro or local declaration order.	21.30	0.00	21.30	empty body, unknown dispatch role, and missing clipped 5-6-5 subtractive textured-polygon paths	audited	sub-50	-
0x00468E90	provisional	partial	24.08	clean	manual-audit-2026-07-30	The one-pointer ABI, additive dispatch slot, vertex layout, quad flag, clip bounds, five edge walks, and scanline fields agree. The 5-6-5 texture lookup, transparent key, channel masks, saturated addition, and side-effect order also agree. The reconstructed 5-6-5 subtractive and 8-bit additive twins confirm the shared edge and blend roles. VC6 assigns repeated edge state to different stack slots and registers.	Revisit when another 5-6-5 additive textured polygon rasterizer identifies the original edge macro or local declaration order.	24.08	0.00	24.08	empty body, unknown dispatch role, and missing clipped 5-6-5 additive textured-polygon paths	audited	sub-50	-
0x0046D2C0	provisional	partial	67.94	clean	manual-audit	The five-argument ABI, PointI inputs, packed colour, dispatch-table slot, scanline layout, occupancy access widths, clip bounds, four edge walks, fixed-point arithmetic, odd-scanline gate, aligned span fill, helper calls, and side-effect order agree. Retail keeps the edge x value and scanline pointer in opposite registers and schedules the starting-x shift after the edge division. The span loop also uses different local stack slots.	Revisit when a related rasterizer is reconstructed and identifies the original edge macro or local declaration order.	33.04,66.91,67.94	-	-	-	audited	-	-
0x00470D00	provisional	partial	92.86	clean	deep-audit-2026-07-29	SoftwareRenderer::LoadPaletteEntries: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	92.86	-	-	-	audited	-	-
0x00470D60	provisional	partial	70.44	clean	deep-audit-2026-07-29	SoftwareRenderer::BuildRGBToPaletteTable: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	70.44	-	-	-	audited	-	-
0x00470FB0	provisional	partial	77.71	clean	deep-audit-2026-07-29	SoftwareRenderer::BuildPaletteColourOffsetTable: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	77.71	-	-	-	audited	-	-
0x004710C0	provisional	partial	97.10	clean	deep-audit-2026-07-29	SoftwareRenderer::BuildPaletteBlendTable: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	97.10	-	-	-	audited	-	-
0x00471190	provisional	partial	96.72	clean	deep-audit-2026-07-29	SoftwareRenderer::BuildAdditivePaletteTable: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	96.72	-	-	-	audited	-	-
